,,,,,,
,メインKW,,,,,
,サブKW,,,,,
,,,,,,
,,,,,,
,強調スニペット/AI overview 有無,,←有の場合には、その内容も対策する（表が出てくる場合には表を作成する）,,,
,AI overview,,,,,
,,,,,,
,,,,,,
,バーティカル検索,,←バーティカル検索（すべて除く）を左から順に記載。検索意図（ユーザーの求める情報の形）を把握する,,,
,1,ショッピング,,,,
,2,画像,,,,
,3,ショート動画,,,,
,4,動画,,,,
,,,,,,
,,,,,,
,対策文字数,,←ラッコキーワードで見出し抽出画面の平均文字数を記載,,,
,6970,,,,,
,,,,,,
,,,,,,
,KW種類,含めるべき場所,利用ツール,調査方法とやること,,
,顕在KW,見出し,"Googleサジェスト
ラッコキーワード","①Google検索に対策KWを入れて顕在KWを抽出する（シークレットモード）
もしくはラッコキーワードで「Googleサジェスト」を抽出する",,
,潜在KW,本文,"Google再検索ワード
GetKeyword","①Google検索下部の「他の人はこちらも検索」のKWを抽出（シークレットモード）
もしくはGetKeywordの「再検索ワード」を抽出
※無料会員登録することで1日複数回利用可となる",,
,共起語,本文,ラッコキーワード,①ラッコキーワードの「共起語β」を用いて共起語を抽出,,
,ターシャリ,タイトル,rurico,"①ruricoの「タイトルへのKWD使用状況」を見て、類似率が60％以上のものを抽出
※DLしたExcelファイルの左から6つ目のシートを確認",,
,PAA,本文,ラッコキーワード,①ラッコキーワードの「潜在的な検索キーワード/質問（LSI/PAA）から抽出,,
,QA,見出し,GetKeyword,"①Google検索結果の「関連する質問」を抽出
もしくはGetKeywordの「質問文」から抽出
※無料会員登録することで1日複数回利用可となる",,
,,,,,,
,,,,,,
,↓上記の調査方法を用いて、それぞれのKWを調査・記載。再検索/サジェストのネガティブ情報を盛り込む,,,,,
,顕在KW,潜在KW,共起語,ターシャリ,PAA,QA
,シャネル デザイナー,シャネル,シャネル,,シャネル デザイナー 歴代,現在のシャネルのデザイナーは誰ですか?
,シャネル デザイナー 現在,シャネル化粧品,ブランド,,シャネル デザイナー エディ,chanel2026のデザイナーは誰ですか?
,シャネル デザイナー 2025,シャネルメガネ,デザイナー,,シャネル デザイナー ヴィルジニー,chanelのデザイナーは誰ですか?
,シャネル デザイナー 交代,シャネル公式,ファッション,,シャネル デザイナー 日本人,日本人でシャネルのアンバサダーになった人は?
,シャネル デザイナー 歴代,シャネル バニティ,ヴィルジニー,,シャネル デザイナー 変わる,シャネルの現在のデザイナーは誰ですか?
,シャネル デザイナー カール,シャネル デザイナー,ヴィアール,,シャネル デザイナー マチュー,シャネルのデザイナーはいつ就任するのでしょうか?
,シャネル デザイナー変わった,シャネル イベント,カール・ラガーフェルド,,CHANEL マチュー コレクション,シャネルの社員の年収はいくらですか?
,シャネル デザイナー エディ,シャネルデザイナー,発表,,シャネル 新デザイナー バッグ,ディオールの歴代デザイナーは?
,シャネル デザイナー マチュー,デザイナー シャネル,カール,,シャネル マチュー いつから,chanelはいつからデザイナーになったのですか?
,シャネル デザイナー変更,シャネル ココボーム,女性,,シャネル デザイナー 現在,ココ・シャネルの後継者は誰ですか?
,シャネル デザイナー 変わった,シャネル クラシック,ディレクター,,シャネル デザイナー 2025,日本の三大ファッションデザイナーは誰ですか?
,シャネル デザイナー 日本人,シャネルセール,コレクション,,マチュー ブレイジー シャネル,ディオールのデザイナーで日本人は?
,シャネル デザイナー 後任,シャネルズ トゥナイト,フランス,,マチュー ブレイジー 経歴,ヴィルジニー・ヴィアールの経歴は?
,シャネル デザイナー 変わる,シャネル デザイナー 歴代,モード,,マチュー ブレイジー インスタ,シャネルのデザイナーの後任は誰ですか?
