,,,,,,
,メインKW,シャネル 歴史,,,,
,サブKW,,,,,
,,,,,,
,,,,,,
,強調スニペット/AI overview 有無,,←有の場合には、その内容も対策する（表が出てくる場合には表を作成する）,,,
,AI overview,,,,,
,,,,,,
,,,,,,
,バーティカル検索,,←バーティカル検索（すべて除く）を左から順に記載。検索意図（ユーザーの求める情報の形）を把握する,,,
,1,ショッピング,,,,
,2,画像,,,,
,3,動画,,,,
,4,ショート動画,,,,
,,,,,,
,,,,,,
,対策文字数,,←ラッコキーワードで見出し抽出画面の平均文字数を記載,,,
,8599,,,,,
,,,,,,
,,,,,,
,KW種類,含めるべき場所,利用ツール,調査方法とやること,,
,顕在KW,見出し,"Googleサジェスト
ラッコキーワード","①Google検索に対策KWを入れて顕在KWを抽出する（シークレットモード）
もしくはラッコキーワードで「Googleサジェスト」を抽出する",,
,潜在KW,本文,"Google再検索ワード
GetKeyword","①Google検索下部の「他の人はこちらも検索」のKWを抽出（シークレットモード）
もしくはGetKeywordの「再検索ワード」を抽出
※無料会員登録することで1日複数回利用可となる",,
,共起語,本文,ラッコキーワード,①ラッコキーワードの「共起語β」を用いて共起語を抽出,,
,ターシャリ,タイトル,rurico,"①ruricoの「タイトルへのKWD使用状況」を見て、類似率が60％以上のものを抽出
※DLしたExcelファイルの左から6つ目のシートを確認",,
,PAA,本文,ラッコキーワード,①ラッコキーワードの「潜在的な検索キーワード/質問（LSI/PAA）から抽出,,
,QA,見出し,GetKeyword,"①Google検索結果の「関連する質問」を抽出
もしくはGetKeywordの「質問文」から抽出
※無料会員登録することで1日複数回利用可となる",,
,,,,,,
,,,,,,
,↓上記の調査方法を用いて、それぞれのKWを調査・記載。再検索/サジェストのネガティブ情報を盛り込む,,,,,
,顕在KW,潜在KW,共起語,ターシャリ,PAA,QA
,シャネル 歴史,ココシャネル 歴史,シャネル,シャネル,ココシャネル 歴史,シャネルの最初は何だった?
,シャネル 歴史 簡単,シャネル 歴史 簡単,ブランド,シ ャネル,シャネル 歴史 簡単,シャネルのはじまりは?
,シャネル 歴史 本,ガブリエル シャネル 歴史,ファッション,シャネル シャネル,ガブリエル シャネル 歴史,シャネルのファッション本部はどこにありますか?
,シャネル 歴史 ファッション,ココ シャネル 名言,歴史,シャネル 歴史,シャネル コンセプト,ココ・シャネルは何をした人?
,シャネル 歴史 年表,シャネルスーツ 歴史,ココ・シャネル,,シャネルスーツ 歴史,シャネルは何年に創業しましたか?
,ココ シャネル 歴史,シャネル コンセプト,コレクション,,ココ シャネル 名言,シャネルの美容部員の年収は?
,ガブリエル シャネル 歴史,シャネル 歴史 ファッション,発表,,シャネル 歴史 ファッション,chanelの始まりはいつですか?
,ブルー ドゥ シャネル 歴史,シャネル ガブリエル どんな香り,スタイル,,ココシャネル 何した人,シャネルの一番最初の商品は?
,ボーイ シャネル 歴史,シャネル 特徴,人気,,ココシャネル 死因,シャネルはもともと何だったのですか?
,2.55 シャネル 歴史,ココシャネル 何した人,バッグ,,CHANEL 歴史 本,chanelの起源は?
,ここ シャネル 歴史,chanel 歴史 本,アイテム,,シャネル ガブリエル どんな香り,シャネルの理念は?
,シャネル の 歴史 本,ココシャネル 死因,アクセサリー,,シャネル 特徴,シャネルのキャッチフレーズは?
,ココ シャネル 歴史 本,シャネル ガブリエル 口コミ,店舗,,シャネル ガブリエル おばさん,chanelのポリシーは?
,ココ シャネル 香水 歴史,シャネル リトルブラックドレス 歴史,素材,,シャネル ガブリエル 口コミ,シャネルの魅力とは?
,ココ シャネル の 歴史,ココ シャネルの言葉,香水,,シャネル 歴史 本,シャネルの本でおすすめの本は?
,ココ シャネル ファッション 歴史,chanel 本,当時,,シャネル 創業 何 年,chanelは何から始まったのですか?
