,,,,,,
,メインKW,シャネルバッグ 買うなら,,,,
,サブKW,,,,,
,,,,,,
,,,,,,
,強調スニペット/AI overview 有無,,←有の場合には、その内容も対策する（表が出てくる場合には表を作成する）,,,
,AI overview,,,,,
,,,,,,
,,,,,,
,バーティカル検索,,←バーティカル検索（すべて除く）を左から順に記載。検索意図（ユーザーの求める情報の形）を把握する,,,
,1,ショッピング,,,,
,2,画像,,,,
,3,ショート動画,,,,
,4,動画,,,,
,,,,,,
,,,,,,
,対策文字数,,←ラッコキーワードで見出し抽出画面の平均文字数を記載,,,
,9024,,,,,
,,,,,,
,,,,,,
,KW種類,含めるべき場所,利用ツール,調査方法とやること,,
,顕在KW,見出し,"Googleサジェスト
ラッコキーワード","①Google検索に対策KWを入れて顕在KWを抽出する（シークレットモード）
もしくはラッコキーワードで「Googleサジェスト」を抽出する",,
,潜在KW,本文,"Google再検索ワード
GetKeyword","①Google検索下部の「他の人はこちらも検索」のKWを抽出（シークレットモード）
もしくはGetKeywordの「再検索ワード」を抽出
※無料会員登録することで1日複数回利用可となる",,
,共起語,本文,ラッコキーワード,①ラッコキーワードの「共起語β」を用いて共起語を抽出,,
,ターシャリ,タイトル,rurico,"①ruricoの「タイトルへのKWD使用状況」を見て、類似率が60％以上のものを抽出
※DLしたExcelファイルの左から6つ目のシートを確認",,
,PAA,本文,ラッコキーワード,①ラッコキーワードの「潜在的な検索キーワード/質問（LSI/PAA）から抽出,,
,QA,見出し,GetKeyword,"①Google検索結果の「関連する質問」を抽出
もしくはGetKeywordの「質問文」から抽出
※無料会員登録することで1日複数回利用可となる",,
,,,,,,
,,,,,,
,↓上記の調査方法を用いて、それぞれのKWを調査・記載。再検索/サジェストのネガティブ情報を盛り込む,,,,,
,顕在KW,潜在KW,共起語,ターシャリ,PAA,QA
,シャネルバッグ 買うなら,-,CHANEL,シャネル バッグ,シャネル バッグ 一覧,シャネルはどこで買うのが1番安いですか?
,レディース シャネルバッグ 買うなら,,シャネル,バッグ シャネル,シャネル バッグ 安い順,シャネルのマトラッセ23と25のどっちがいいですか?
,ショルダーバッグ シャネルバッグ 買うなら,,バッグ,,シャネル バッグ マトラッセ,シャネルのバッグで人気順は?
,,,人気,,シャネルバッグ買うなら,シャネルのターゲット年齢層は?
,,,ブランド,,シャネル バッグ 買う人,シャネルで1番人気なのは?
,,,アイテム,,シャネルバッグ 値段 正規,シャネルのバッグで一番人気なのは?
,,,マトラッセ,,シャネルバッグ 高い 順,chanelはどこの国で買うと安いですか?
,,,ファッション,,CHANEL バッグ 人気ランキング,chanelを買うならどこの国が一番安い?
,,,定番,,シャネル バッグ 人気ランキング,シャネルとヴィトン どっちが高い?
,,,サイズ,,シャネル バッグ アウトレット,シャネルはどこが一番安いですか?
,,,デザイン,,シャネル バッグ 種類,シャネルのバッグが日本より安い国はどこですか?
,,,シーン,,シャネル マトラッセ 後悔,シャネルのマトラッセバッグの定価はいくらですか?
,,,価格,,シャネル バッグ 最新,マトラッセの20年前の値段はいくらでしたか?
,,,印象,,トート シャネル バッグ 人気 ランキング,マトラッセの2025年の価格はいくらですか?
,,,ココハンドル,,シャネルバッグ 人気ランキング,なぜシャネルのマトラッセは高いのでしょうか?
,,,ブラック,,レディース シャネルバッグ 買うなら,chanelのターゲット層は?
,,,女性,,chanel バッグ 人気ランキング,chanelのバッグはどの年齢層が購入していますか?
,,,素材,,シャネル 初めて買うなら,シャネルはどこで買うのが安い?
,,,チェーン,,トート シャネル バッグ 人気ランキング,chanelは何歳向けのブランドですか?
,,,チェック,,レディース シャネルバッグ 安い順,シャネルで一番安く買える国はどこですか?
,,,トレンド,,シャネル バッグ ミニ,シャネルのバッグが安く買える国はどこですか?
,,,カジュアル,,ショルダーバッグ シャネルバッグ 安い 順,chanelのバッグで一番人気なのは?
,,,キルティング,,シャネル バッグ 値段,シャネルが好きな人にはどんな特徴がありますか?
,,,注目,,レディース シャネル バッグ 一覧,
,,,店舗,,シャネル ハンドバッグ,
,,,アイコン,,シャネル バッグ マトラッセ 定価,
,,,魅力,,シャネル バッグ マトラッセ 25,
,,,クラシック,,シャネル バッグ マトラッセ 買取価格,
,,,レザー,,シャネル バッグ マトラッセ ミニ,
,,,カラー,,シャネル バッグ マトラッセ 中古,
,,,活躍,,シャネル バッグ マトラッセ 20,
,,,発表,,シャネル バッグ マトラッセ キャビアスキン,
,,,ピンク,,シャネル バッグ 欲しい,
,,,ジュエリー,,シャネル 買う べき もの,
,,,世界中,,CHANEL 初めて,
,,,収納力,,安い シャネル バッグ,
,,,ストラップ,,シャネル トートバッグ 公式,
,,,存在,,シャネル トートバッグ キャンバス,
,,,愛用,,シャネル トートバッグ 布,
,,,展開,,シャネル トートバッグ 新作,
,,,ハンドバッグ,,シャネル 財布,
,,,ツイード,,シャネル 持ってる人 イメージ,
,,,販売,,シャネル マトラッセ,
,,,モデル,,シャネル 昔は安かった,
,,,シルバー,,シャネル バッグ 投資,
,,,洗練,,シャネル 高すぎて買えない,
,,,ポケット,,シャネル バッグ 新作,
,,,ゴールド,,,
,,,代表,,,
,,,ランキング,,,
,,,雰囲気,,,
,,,コーディネート,,,
,,,財布,,,
,,,デニム,,,
,,,スタイル,,,
,,,キャビア,,,
,,,スキン,,,
,,,タイムレス,,,
,,,ミニバッグ,,,
,,,デイリー,,,
,,,ライフスタイル,,,
,,,実用性,,,
,,,登場,,,
,,,ショルダーバッグ,,,
,,,ご覧,,,
,,,エレガント,,,
,,,フラップ,,,
,,,ハンドル,,,
,,,ライン,,,
,,,無料,,,
,,,基準,,,
,,,ボーイ,,,
,,,ホワイト,,,
,,,時計,,,
,,,BRAND,,,
,,,CO,,,
,,,IWC,,,
,,,方法,,,
,,,解説,,,
,,,ラムスキン,,,
,,,コレクション,,,
,,,cm,,,
,,,スモール,,,
,,,安心,,,
,,,在庫,,,
,,,存在感,,,
,,,金具,,,
,,,シルエット,,,
,,,コーデ,,,
,,,ココマーク,,,
,,,相性,,,
,,,トート,,,
,,,選び,,,
,,,買取,,,
,,,ショルダー,,,
,,,ヴィンテージ,,,
,,,中古,,,
,,,トートバッグ,,,
,,,shop,,,
,,,後悔,,,
,,,選び方,,,
,,,登録,,,
,,,歴史,,,
,,,バランス,,,
,,,普段使い,,,
,,,ブティック,,,
,,,電話,,,
,,,対応,,,
,,,オススメ,,,
,,,万能,,,
,,,フォルム,,,
,,,査定,,,
,,,ドーヴィル,,,
,,,お気に入り,,,
,,,ベージュ,,,
,,,グレー,,,
,,,レディース,,,
