,,,,,,
,メインKW,シャネル 結婚指輪 芸能人,,,,
,サブKW,,,,,
,,,,,,
,,,,,,
,強調スニペット/AI overview 有無,,←有の場合には、その内容も対策する（表が出てくる場合には表を作成する）,,,
,AI overview,,,,,
,,,,,,
,,,,,,
,バーティカル検索,,←バーティカル検索（すべて除く）を左から順に記載。検索意図（ユーザーの求める情報の形）を把握する,,,
,1,画像,,,,
,2,ショッピング,,,,
,3,ショート動画,,,,
,4,動画,,,,
,,,,,,
,,,,,,
,対策文字数,,←ラッコキーワードで見出し抽出画面の平均文字数を記載,,,
,7989,,,,,
,,,,,,
,,,,,,
,KW種類,含めるべき場所,利用ツール,調査方法とやること,,
,顕在KW,見出し,"Googleサジェスト
ラッコキーワード","①Google検索に対策KWを入れて顕在KWを抽出する（シークレットモード）
もしくはラッコキーワードで「Googleサジェスト」を抽出する",,
,潜在KW,本文,"Google再検索ワード
GetKeyword","①Google検索下部の「他の人はこちらも検索」のKWを抽出（シークレットモード）
もしくはGetKeywordの「再検索ワード」を抽出
※無料会員登録することで1日複数回利用可となる",,
,共起語,本文,ラッコキーワード,①ラッコキーワードの「共起語β」を用いて共起語を抽出,,
,ターシャリ,タイトル,rurico,"①ruricoの「タイトルへのKWD使用状況」を見て、類似率が60％以上のものを抽出
※DLしたExcelファイルの左から6つ目のシートを確認",,
,PAA,本文,ラッコキーワード,①ラッコキーワードの「潜在的な検索キーワード/質問（LSI/PAA）から抽出,,
,QA,見出し,GetKeyword,"①Google検索結果の「関連する質問」を抽出
もしくはGetKeywordの「質問文」から抽出
※無料会員登録することで1日複数回利用可となる",,
,,,,,,
,,,,,,
,↓上記の調査方法を用いて、それぞれのKWを調査・記載。再検索/サジェストのネガティブ情報を盛り込む,,,,,
,顕在KW,潜在KW,共起語,ターシャリ,PAA,QA
,シャネル 結婚指輪 芸能人,シャネル 結婚指輪 ココ クラッシュ,デザイン,シャネル 指輪 結婚,シャネル 結婚指輪 ダサい,
,,シャネル 結婚指輪 カメリア,リング,シャネル 結婚 指輪,シャネル 結婚指輪 ココ クラッシュ,
,,シャネル 結婚指輪 男性,指輪,芸能人 結婚 指輪,シャネル 結婚指輪 カメリア,
,,シャネル 結婚指輪 ペア,結婚指輪,結婚 指輪 シャネル,シャネル 結婚指輪 芸能人,
,,シャネル 婚約指輪,人気,結婚 指輪 芸能人,シャネル 結婚指輪 後悔,
,,カルティエ 結婚指輪,芸能人,芸能人 指輪,シャネル 結婚指輪 男性,
,,ティファニー 結婚指輪,ブランド,指輪 芸能人,シャネル 結婚指輪 ペア,
,,シャネル 結婚指輪 値段,ファッション,シャネル 結婚,ココ クラッシュ 結婚指輪 芸能人,
,,,ジュエリー,,ティファニー 結婚指輪,
,,,価格,,ココ クラッシュ 結婚指輪 後悔,
,,,憧れ,,シャネル ココ クラッシュ 結婚指輪 口コミ,
,,,ハイブランド,,ココ クラッシュ 結婚指輪 プラチナ,
,,,ダイヤモンド,,シャネル 婚約指輪,
,,,魅力,,シャネル ブライダル 店舗,
,,,エレガント,,シャネル 結婚指輪 サイズ直し,
,,,女性,,シャネル 結婚指輪 カメリア 男性,
,,,シャネル,,シャネル カメリア リング 廃盤,
,,,モチーフ,,シャネル 結婚指輪 カメリア 口コミ,
,,,婚約指輪,,シャネル 結婚 指輪 カメリア ハーフ エタニティ,
,,,理由,,シャネル カメリア 婚約指輪 価格,
,,,結婚,,シャネル カメリア コレクション,
,,,プラチナ,,シャネル カメリア ハーフエタニティ,
,,,素材,,ココ クラッシュ 結婚指輪 男性,
,,,ゴールド,,ココ クラッシュ マリッジリング 違い,
,,,モデル,,シャネル 結婚指輪 ペア 値段,
,,,ココクラッシュ,,シャネル 結婚指輪 メンズ,
,,,印象,,ティファニー 結婚指輪 ありえない,
,,,CHANEL,,ティファニー 結婚指輪 ペア,
,,,チェック,,ティファニー 結婚指輪 ペア 10万,
,,,ブライダル,,ティファニー 結婚指輪 値段,
,,,選び,,ティファニー 結婚指輪 ペア 人気,
,,,ふたり,,ティファニー 結婚指輪 男性,
,,,象徴,,ティファニー 結婚指輪 人気,
,,,男性,,ティファニー 結婚指輪 プラチナ,
,,,カルティエ,,シャネル 結婚 指輪 カメリア 口コミ,
,,,ジュエリーブランド,,シャネル ココ クラッシュ サイズ直し,
,,,イエロー,,シャネル カメリア リング サイズ直し,
,,,ホワイトゴールド,,シャネル 指輪 サイズ 表,
,,,愛用,,シャネル 結婚指輪 アフターサービス,
,,,サイズ,,シャネル マトラッセ 指輪 サイズ直し,
,,,カップル,,シャネル 結婚指輪 刻印 期間,
,,,プロポーズ,,ココ クラッシュ サイズ直し できない,
,,,おしゃれ,,ココ クラッシュ 結婚指輪 メンズ,
,,,ティファニー,,ココ クラッシュ 結婚指輪 重ね付け,
,,,選び方,,,
,,,解説,,,
,,,カメリア,,,
,,,一般的,,,
,,,店舗,,,
,,,無料,,,
,,,後悔,,,
,,,好み,,,
,,,キルティング,,,
,,,イメージ,,,
,,,相場,,,
,,,ランキング,,,
,,,Cartier,,,
,,,洗練,,,
,,,注意点,,,
,,,評判,,,
,,,選択,,,
,,,コレクション,,,
,,,歴史,,,
,,,必要,,,
,,,ベージュ,,,
,,,アフターサービス,,,
,,,評価,,,
,,,ペア,,,
,,,ハリーウィンストン,,,
,,,口コミ,,,
,,,存在,,,
,,,トリニティ,,,
,,,刻印,,,
,,,年間,,,
,,,直し,,,
